2026-05-15 14:09:41,781 [INFO] ────────────────────────────────────────────────────────────
2026-05-15 14:09:41,783 [INFO] retag started  |  mode=DRY RUN
2026-05-15 14:09:43,731 [INFO] Fetched 142 opportunities
2026-05-15 14:09:44,869 [INFO] [1/142] 1971a10e-a06e-43b3-bd98-a14ee5143eed: subject_tags ['business', 'technology', 'training'] → ['Course', 'Data & Mathematics', 'Online', 'Professional'] | target_group ['professionals'] → ['Professional']
2026-05-15 14:09:47,727 [INFO] [2/142] 601eb36d-fa22-493d-87da-64dbe3039a2b: subject_tags ['education', 'event', 'scholarship'] → ['Education', 'Event', 'Online', 'Undergraduate', 'Youth (Under 18)'] | target_group ['university_students', 'youth'] → ['Undergraduate', 'Youth (Under 18)']
2026-05-15 14:09:50,782 [INFO] [3/142] 76869f4d-72a6-4840-89b1-fc552fc5b18b: subject_tags ['business', 'education', 'entrepreneurship', 'event'] → ['Entrepreneurship', 'Event', 'In-person', 'Open to All', 'Undergraduate', 'Youth (Under 18)'] | target_group ['open_to_all', 'university_students', 'youth'] → ['Open to All', 'Undergraduate', 'Youth (Under 18)']
2026-05-15 14:09:54,218 [INFO] [4/142] 24bb9a1c-c3df-457e-a5d3-d9ae5f6ca41e: subject_tags ['business', 'community', 'education', 'training', 'workshop'] → ['Education', 'Entrepreneurship', 'Event', 'In-person', 'Marketing & Social Media', 'Project Management', 'Undergraduate', 'Youth (Under 18)'] | target_group ['cambodians_only', 'university_students', 'youth'] → ['Undergraduate', 'Youth (Under 18)']
2026-05-15 14:09:57,313 [INFO] [5/142] 45b6ce83-cbf2-4425-b916-0d59941cb9c2: subject_tags ['agriculture', 'business', 'community', 'education', 'youth'] → ['Agriculture', 'Community Development', 'Event', 'In-person', 'Project Management', 'Youth (Under 18)'] | target_group ['cambodians_only', 'youth'] → ['Youth (Under 18)']
2026-05-15 14:10:00,193 [INFO] [6/142] dfe4d44e-12f0-4e50-a42f-3a498db4836e: subject_tags ['bootcamp', 'community', 'hackathon', 'technology', 'training', 'workshop', 'youth'] → ['Community Organizing', 'Competition & Hackathon', 'Event', 'In-person', 'Software Development', 'Youth (Under 18)'] | target_group ['cambodians_only', 'youth'] → ['Youth (Under 18)']
2026-05-15 14:10:03,569 [INFO] [7/142] af55bd06-bb19-42bc-856c-a6ba67feccff: subject_tags ['business', 'community', 'innovation', 'leadership', 'media', 'volunteer', 'youth'] → ['Community Organizing', 'Education', 'Event Planning', 'In-person', 'Project Management', 'Volunteering', 'Youth (Under 18)'] | target_group ['cambodians_only', 'youth'] → ['Youth (Under 18)']
2026-05-15 14:10:07,230 [INFO] [8/142] 7ae45a2e-7c77-4fb3-baad-7b783ccbe323: subject_tags ['education', 'scholarship'] → ['Education', 'Fellowship', 'Online', 'Postgraduate', 'Recent Graduate'] | target_group ['graduates'] → ['Recent Graduate']
2026-05-15 14:10:10,229 [INFO] [9/142] 3f778629-2d3f-4728-9883-b7a2fae0b020: subject_tags ['competition', 'education', 'technology'] → ['Event', 'In-person', 'Management', 'Professional', 'Project Management'] | target_group ['null'] → []
